"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Akkermansia_sp_N21116"	"Reads"	"Reads"	"Reads"	-0.0496429878365087	-0.21119275545582	1.11910646979786	0.888137720336135	1	0.924197009155665	0.999999999999999	NA	"abundance"	382	15
"Alistipes_communis"	"BMI"	"BMI"	"BMI"	-0.445712888480907	-0.0678371329290489	0.242827198980796	0.131683265667861	1	0.0436722280540474	0.96068751672793	NA	"abundance"	382	129
"Alistipes_dispar"	"BMI"	"BMI"	"BMI"	-0.227258723765112	-0.0678371329290489	0.138994656638055	0.30994504863016	1	0.469493844311472	0.999999999999999	NA	"abundance"	382	16
"Alistipes_finegoldii"	"BMI"	"BMI"	"BMI"	-0.306906952709523	-0.0678371329290489	0.158758283491247	0.156845813944574	1	0.289091018537212	0.999999999999999	NA	"abundance"	382	172
"Alistipes_hominis"	"Reads"	"Reads"	"Reads"	-0.0586172705346564	-0.21119275545582	0.105627675930416	0.173498915488919	1	0.316895957302006	0.999999999999999	NA	"abundance"	382	174
"Alistipes_ihumii"	"BMI"	"BMI"	"BMI"	-0.397483254320293	-0.0678371329290489	0.269938504004368	0.235662098291731	1	0.4157875720122	0.999999999999999	NA	"abundance"	382	80
"Alistipes_ihumii"	"Reads"	"Reads"	"Reads"	-0.0672996058417725	-0.21119275545582	0.1863922482915	0.450515288679139	1	0.348660738085004	0.999999999999999	NA	"abundance"	382	80
"Alistipes_indistinctus"	"BMI"	"BMI"	"BMI"	-0.21287531877393	-0.0678371329290489	0.122630272066769	0.280901788456632	1	0.48289776215513	0.999999999999999	NA	"abundance"	382	192
"Alistipes_indistinctus"	"Reads"	"Reads"	"Reads"	-0.282882381294532	-0.21119275545582	0.106238848656417	0.522997868630645	1	0.363968197315219	0.999999999999999	NA	"abundance"	382	192
"Alistipes_montrealensis"	"BMI"	"BMI"	"BMI"	-0.302156681386444	-0.0678371329290489	0.446795102081397	0.604997512019009	1	0.0716104776678489	0.999999999999999	NA	"abundance"	382	55
