Sample	RawReads	TrimmedReads	TrimmedSingles	FilteredReads	FilteredSingles	Basic Statistics	Per base sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
ERR2017613	46301940	43370348	1203890	43336792	1203407	PASS	PASS	PASS	WARN	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017532	60475280	53026582	2819556	52905152	2815741	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017415	46423566	35620684	4775249	35602292	4774275	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017730	47253298	43138196	1597238	43127332	1597014	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017604	43338044	40504160	1173612	40465360	1172895	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017442	44858290	41131370	1530276	41119258	1530002	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017523	53824216	41624760	4877337	41601852	4875854	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017640	42433526	39983050	969599	39961806	969344	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017802	58617522	56080744	0	56070414	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017721	30462774	24529808	2221014	24495224	2219041	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017622	61239930	55224036	2404661	55151540	2402601	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017460	36917038	34059434	1215979	34038220	1215608	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017703	64707234	57688586	2727022	57665046	2726298	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017541	53868004	47799230	2272022	47777902	2271411	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017424	45111140	34341312	4774073	34321576	4772915	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017675	51453108	48452820	1180855	48421876	1180432	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017756	55216102	52423692	0	52340766	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017594	60318844	54441360	2224736	54420838	2224290	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017792	46982624	44476950	0	44467326	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017558	58217086	54953110	1418746	54927768	1418170	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017477	52872036	50685022	0	50667368	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	WARN	PASS	PASS
ERR2017639	40326648	38550660	710149	38527836	709931	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017693	50096802	42817508	2700062	42793090	2698988	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017774	57118258	55209516	0	55199856	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017459	34732842	31859560	1210230	31846616	1209922	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017738	72537042	64225560	3310852	64200850	3310099	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017576	58068686	49680354	3146089	49660202	3145314	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017495	56020370	53093260	0	53081610	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017657	40238914	37969006	957792	37951328	957541	PASS	PASS	PASS	WARN	FAIL	PASS	WARN	PASS	PASS	PASS
ERR2017684	59147476	53466244	2196301	53411648	2195074	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017765	56889196	54257652	0	54236658	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017567	62295874	54928638	2771094	54899928	2770404	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017729	58368464	53564124	1886922	53512076	1886058	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017648	43051864	41101394	789638	41064204	789147	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017486	60525842	58047664	0	58035512	0	PASS	PASS	PASS	WARN	WARN	PASS	WARN	WARN	PASS	PASS
ERR2017783	59806444	59133316	0	59115264	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017549	60101552	53458318	2470440	53436550	2469803	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017468	74922058	65288336	3619850	65264084	3619018	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017747	46233512	42061006	1645343	42039424	1644860	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017666	43232828	41153544	836235	41115212	835829	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017789	53927914	51846398	0	51835936	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017710	55558008	49184768	2454022	49156410	2453189	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017431	32982158	24979266	3547347	24963872	3546397	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017512	60730494	57993968	0	57981496	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017413	35360784	27767032	3338144	27752322	3337508	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017611	46357006	39682970	3070669	39657196	3069674	PASS	WARN	PASS	PASS	PASS	FAIL	WARN	PASS	PASS	PASS
ERR2017530	73426978	66392264	2673706	66300924	2671239	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017798	62582194	59672500	0	59655284	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017800	64702364	61487190	0	61466760	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017602	51346618	45091278	2283261	45000148	2281079	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017440	17371392	16590234	361435	16584140	361338	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017521	71826002	65047016	2603644	65008660	2602752	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017422	39993328	36133238	1585977	36115764	1585544	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017503	48267148	46035652	0	46024166	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017620	49913638	46875050	1286677	46852754	1286071	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017701	45713096	39851078	2183012	39833630	2182523	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017699	52347602	45948978	2361395	45854588	2358642	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017790	56184544	54346486	0	54333654	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017718	54018328	48241958	2233245	48219668	2232637	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
